1,CARD_JANISSARIES,Janissaries,Janissaries,0,5,No,1,1517,Boost to a fight (field or naval),Boosted recruits,MEDIUM,Combat Cards,Group 3: Combat Cards
2,CARD_HOLY_ROMAN_EMPEROR,HolyRomanEmperor,Holy Roman Emperor,0,5,No,1,1517,Move & spend 5 CP's,,EASY,,"Group 1: Easy, just a boosted action"
3,CARD_SIX_WIVES_OF_HENRY_VIII,SixWives,Six Wives of Henry VIII,0,5,No,1,1517,Declare War & spend 5 CP's,Special action: advance marital status,MEDIUM,New action,Group 8 - Other new simple actions
4,CARD_PATRON_OF_THE_ARTS,PatronArts,Patron of the Arts,0,5,No,1,1517,Special action: Roll for Chateaux table,,MEDIUM,New action,Group 8 - Other new simple actions
5,CARD_PAPAL_BULL,PapalBull,Papal Bull,0,4,No,1,1517,Special action: Excomunicate a reformer + debate,Special action: Excommunicate rules + unrests,MEDIUM,New action,Group 8 - Other new simple actions
6,CARD_LEIPZIG_DEBATE,LeipzigDebate,Leipzig Debate,0,3,No,1,1517,Boosted Debate,,EASY,,"Group 1: Easy, just a boosted action"
7,CARD_HERE_I_STAND,HereIStand,Here I Stand,0,5,No,1,1517,Special action: Retrieve a card for playing it or holding it,Response to a debate in German + draw a card,HARD,New action + response,GROUP 11 - RESPONSE CARDS
8,CARD_LUTHER_95_THESES,LutherTheses,Luther's 95 Theses,1,0,Yes,1,1517,Boosted conversions,,EASY,,"Group 1: Easy, just a boosted action"
9,CARD_BARBARY_PIRATES,BarbaryPirates,Barbary Pirates,1,2,Yes,1,1517,"Algiers enter with units. Algiers, Oran and Tripoli are now Ottoman home spaces (resolve with invisible token???)",,HARD,Change home spaces,GROUP 9 - New complicated actions
10,CARD_CLEMENT_VII,ClementVII,Clement VII,1,2,Leader,1,1517,Substitute Leader,,MEDIUM,Substitute Leader,Group 2: Leader Substitution
11,CARD_DEFENDER_OF_THE_FAITH,DefenderFaith,Defender of the Faith,1,2,Yes,1,1517,Boosted conversions,,EASY,,"Group 1: Easy, just a boosted action"
12,CARD_MASTER_OF_ITALY,MasterItaly,Master of Italy,1,2,No,1,1517,Check status and give award(s),,MEDIUM,New action,Group 8 - Other new simple actions
13,CARD_SCHMALKALDIC_LEAGUE,SchmalkaldicLeague,Schmalkaldic League,1,2,Special,1,1517,The most important card to track. After activting it changes some rules,,EXTREME,Lots of changes in rules,GROUP 10 - EXTREME CARDS
14,CARD_PAUL_III,PaulIII,Paul III,1,2,Leader,3,1517,Substitute Leader,,MEDIUM,Substitute Leader,Group 2: Leader Substitution
15,CARD_SOCIETY_OF_JESUS,SocietyJesus,Society of Jesus,1,2,Yes,5,1517,"Change rules, allowing universities + boosted university",,HARD,Complicated new action,GROUP 9 - New complicated actions
16,CARD_CALVIN,Calvin,Calvin,1,2,Leader,6,1517,Substitute Leader,,MEDIUM,Substitute Leader,Group 2: Leader Substitution
17,CARD_COUNCIL_OF_TRENT,CouncilTrent,Council of Trent,1,2,Yes,6,1517,Special event,,MEDIUM,New action,Group 8 - Other new simple actions
18,CARD_DRAGUT,Dragut,Dragut,1,2,Yes,6,1517,"Substitute Leader (Naval Leader, not power leader)",,MEDIUM,Substitute Leader,Group 2: Leader Substitution
19,CARD_EDWARD_VI,EdwardVI,Edward VI,1,2,Leader,0,1517,Substitute Leader,,MEDIUM,Substitute Leader,Group 2: Leader Substitution
20,CARD_HENRY_II,HenryII,Henry II,1,2,Leader,6,1517,Substitute Leader,,MEDIUM,Substitute Leader,Group 2: Leader Substitution
21,CARD_MARY_I,MaryI,Mary I,1,2,Leader,0,1517,Substitute Leader (but it implies to complicate rules a lot),,EXTREME,Substitute Leader + complicate everything,GROUP 10 - EXTREME CARDS
22,CARD_JULIUS_III,JuliusIII,Julius III,1,2,Leader,7,1517,Substitute Leader,,MEDIUM,Substitute Leader,Group 2: Leader Substitution
23,CARD_ELIZABETH_I,ElizabethI,Elizabeth I,1,2,Leader,0,1517,Substitute Leader,,MEDIUM,Substitute Leader,Group 2: Leader Substitution
24,CARD_ARQUEBUSIERS,Arquebusiers,Arquebusiers,3,1,No,1,1517,Boost to a fight (field or naval),,MEDIUM,Combat Cards,Group 3: Combat Cards
25,CARD_FIELD_ARTILLERY,FieldArtillery,Field Artillery,3,1,No,1,1517,Boost to a fight (field),,MEDIUM,Combat Cards,Group 3: Combat Cards
26,CARD_MERCENARIES_BRIBED,MercenariesBribed,Mercenaries Bribed,3,3,No,1,1517,Boost to a fight (field),,MEDIUM,Combat Cards,Group 3: Combat Cards
27,CARD_MERCENARIES_GROW_RESTLESS,MercenariesGrowRestless,Mercenaries Grow Restless,3,2,No,1,1517,Boost to a fight (assault defending),,MEDIUM,Combat Cards,Group 3: Combat Cards
28,CARD_SIEGE_MINING,SiegeMining,Siege Mining,3,1,No,1,1517,Boost to a fight (assault attacking),,MEDIUM,Combat Cards,Group 3: Combat Cards
29,CARD_SURPRISE_ATTACK,SurpriseAttack,Surprise Attack,3,2,No,1,1517,Boost to a fight (field),,MEDIUM,Combat Cards,Group 3: Combat Cards
30,CARD_TERCIOS,Tercios,Tercios,3,2,No,1,1517,Boost to a fight (field),Boost to a fight (field),MEDIUM,Combat Cards,Group 3: Combat Cards
31,CARD_FOUL_WEATHER,FoulWeather,Foul Weather,2,2,No,1,1517,"Response to move, assault, piracy, naval move or naval transport (before rolling)",,HARD,Response Card,GROUP 11 - RESPONSE CARDS
32,CARD_GOUT,Gout,Gout,2,2,No,1,1517,Response to move or assault including a leader (before rolling),,HARD,Response Card,GROUP 11 - RESPONSE CARDS
33,CARD_LANDSKNECHTS,Landsknechts,Landsknechts,2,1,No,1,1517,"Response to any action (own or opponent), before or after rolling",,HARD,Response Card,GROUP 11 - RESPONSE CARDS
34,CARD_PROFESSIONAL_ROWERS,ProfessionalRowers,Professional Rowers,2,2,No,1,1517,Response to intercept or avoid roll (after rolling),Response to a naval combat (after rolling),HARD,Response Card,GROUP 11 - RESPONSE CARDS
35,CARD_SIEGE_ARTILLERY,SiegeArtillery,Siege Artillery,2,1,No,1,1517,Response to assault (after rolling),,HARD,Response Card,GROUP 11 - RESPONSE CARDS
36,CARD_SWISS_MERCENARIES,SwissMercenaries,Swiss Mercenaries,2,1,No,1,1517,"Response to any action (own or opponent), before or after rolling",,HARD,Response Card,GROUP 11 - RESPONSE CARDS
37,CARD_THE_WARTBURG,Wartburg,The Wartburg,2,2,No,1,1517,Response to almost any event (opponent),,HARD,Response Card,GROUP 11 - RESPONSE CARDS
38,CARD_HALLEY_COMET,HalleyComet,Halley's Comet,2,2,Yes,3,1517,Response.. to play at any time,,HARD,Response Card,GROUP 11 - RESPONSE CARDS
39,CARD_AUGSBURG_CONFESSION,AugsburgConfession,Augsburg Confession,4,4,Yes,3,1517,Modifiers for other actions in the rest of the turn,,MEDIUM,Change dices for the turn,Group 8 - Other new simple actions
40,CARD_MACHIAVELLI_THE_PRINCE,Machiavelli,Machiavelli: The Prince,4,3,No,3,1517,War + 2 CP,,EASY,,"Group 1: Easy, just a boosted action"
41,CARD_MARBURG_COLLOQUY,MarburgColloquy,Marburg Colloquy,4,5,Yes,3,1517,Boosted conversions,,EASY,,"Group 1: Easy, just a boosted action"
42,CARD_ROXELANA,Roxelana,Roxelana,4,4,No,3,1517,4 CP + boosted assault,2 CP + move Suleiman to Istanbul,EASY,,"Group 1: Easy, just a boosted action"
43,CARD_ZWINGLI_DONS_ARMOR,ZwingliDonsArmor,Zwingli Dons Armor,4,3,Yes,3,1517,"New action: Zwingli kamikaze, withing 3 spaces",,MEDIUM,New action,Group 8 - Other new simple actions
44,CARD_AFFAIR_OF_THE_PLACARDS,AffairPlacards,Affair of the Placards,4,2,Yes,4,1517,Boosted conversions,,EASY,,"Group 1: Easy, just a boosted action"
45,CARD_CALVIN_EXPELLED,CalvinExpelled,Calvin Expelled,4,1,Yes,4,1517,New action: Calvin punished for 1 turn,,MEDIUM,New action (similar to excomunion),Group 8 - Other new simple actions
46,CARD_CALVIN_INSTITUTES,CalvinInstitutes,Calvin's Institutes,4,5,Yes,4,1517,Boosted conversions,,EASY,,"Group 1: Easy, just a boosted action"
47,CARD_COPERNICUS,Copernicus,Copernicus,4,6,Yes,5,1517,New action: Count markers and give VP's,,MEDIUM,New action (similar to Master of Italy),Group 8 - Other new simple actions
48,CARD_GALLEONS,Galleons,Galleons,4,2,No,4,1517,Marker for future impact in New World,,MEDIUM,Change dice results in NW until token removed,GROUP 7 - Future impact in New World
49,CARD_HUGUENOT_RAIDERS,HuguenotRaiders,Huguenot Raiders,4,2,No,4,1517,Marker for future impact in New World,,MEDIUM,Change dice results in NW until token removed,GROUP 7 - Future impact in New World
50,CARD_MERCATORMAP,MercatorMap,Mercator's Map,4,2,No,4,1517,Boosted Explotation,,EASY,,"Group 1: Easy, just a boosted action"
51,CARD_MICHAEL_SERVETUS,MichaelServetus,Michael Servetus,4,4,Yes,4,1517,1 VP and discard a prot card at random,,MEDIUM,New action,Group 6 - Cards draw / discard
52,CARD_MICHELANGELO,Michelangelo,Michelangelo,4,4,Yes,4,1517,Boosted St Peter's,,EASY,,"Group 1: Easy, just a boosted action"
53,CARD_PLANTATIONS,Plantations,Plantations,4,2,No,4,1517,Marker for future impact in New World,,MEDIUM,Change dice results in NW for the rest of the game,GROUP 7 - Future impact in New World
54,CARD_POTOSI_SILVER_MINES,PotosiSilverMines,Potosi Silver Mines,4,3,Yes,4,1517,Boosted Colony,,EASY,,"Group 1: Easy, just a boosted action"
55,CARD_JESUIT_EDUCATION,JesuitEducation,Jesuit Education,4,3,No,5,1517,Boosted found universities,,EASY,,"Group 1: Easy, just a boosted action"
56,CARD_PAPAL_INQUISITION,PapalInquisition,Papal Inquisition,4,5,No,5,1517,Convert + view cards + draw random card or retrieve from discard or boosted debate,,HARD,New complicated action,GROUP 9 - New complicated actions
57,CARD_PHILIP_OF_HESSE_BIGAMY,PhilipHesseBigamy,Philip of Hesse's Bigamy,4,2,Yes,5,1517,Remove a leader or discard a Prot card (but protestant decides),,MEDIUM,New action,Group 6 - Cards draw / discard
58,CARD_SPANISH_INQUISITION,SpanishInquisition,Spanish Inquisition,4,5,No,5,1517,Convert + view cards + discard random card + draw a card + debate,,HARD,New complicated action,GROUP 9 - New complicated actions
59,CARD_LADY_JANE_GREY,LadyJaneGrey,Lady Jane Grey,4,3,Yes,6,1517,Complicated condition + draw card from England + choose 1 + give the other to Pap or Pro,,HARD,New complicated action,GROUP 9 - New complicated actions
60,CARD_MAURICE_OF_SAXONY,MauriceSaxony,Maurice of Saxony,4,4,No,6,1517,Change side of a leader and his stack (with a condition),,HARD,New complicated action,GROUP 9 - New complicated actions
61,CARD_MARY_DEFIES_COUNCIL,MaryDefiesCouncil,Mary Defies Council,4,1,No,7,1517,Boosted conversions,,EASY,,"Group 1: Easy, just a boosted action"
62,CARD_BOOK_OF_COMMON_PRAYER,BookCommonPrayer,Book of Common Prayer,4,2,No,0,1517,Boosted conversions + roll a die to unrest,,MEDIUM,New action,GROUP 5 - Unrest creator
63,CARD_DISSOLUTION_OF_THE_MONASTERIES,DissolutionMonasteries,Dissolution of the Monasteries,4,4,Yes,0,1517,England draws 2 cards + boosted conversion,,MEDIUM,New action,Group 6 - Cards draw / discard
64,CARD_PILGRIMAGE_OF_GRACE,PilgrimageGrace,Pilgrimage of Grace,4,3,Yes,0,1517,Unrest,,MEDIUM,New action,GROUP 5 - Unrest creator
65,CARD_A_MIGHTY_FORTRESS,MightyFortress,A Mighty Fortress,4,4,No,1,1517,Boosted conversions,,EASY,,"Group 1: Easy, just a boosted action"
